Rank,Crop,Code,Total Production (metric tons)
1,Sugarcane,sugc,1881854327
2,Maize,maiz,1168397153
3,Other Vegetables,vege,843676078
4,Rice,rice,769917234
5,Wheat,whea,763962321
6,Oilpalm,oilp,414645955
7,Potato,pota,371825944
8,Soybean,soyb,354316074
9,Cassava,cass,304500876
10,Temperate Fruit,temf,290866049
11,Other Tropical Fruit,trof,277404087
12,Sugarbeet,sugb,268971940
13,Tomato,toma,185090982
14,Citrus,citr,157837692
15,Barley,barl,154104609
16,Banana,bana,120722072
17,Onion,onio,108024580
18,Sweet Potato,swpo,87816640
19,Cotton,cott,76364214
20,Yams,yams,75619889
21,Rapeseed,rape,72421468
22,Other Cereals,ocer,66420594
23,Coconut,cnut,62652819
24,Sorghum,sorg,58961902
25,Sunflower,sunf,54834644
26,Groundnut,grou,52152367
27,Plantain,plnt,45054073
28,Rest Of Crops,rest,36047779
29,Other Oil Crops,ooil,30974999
30,Tea,teas,27323594
31,Bean,bean,26852811
32,Other Pulses,opul,25980527
33,Pearl Millet,pmil,21576975
34,Other Roots,orts,20601487
35,Chickpea,chic,15047102
36,Rubber,rubb,14186083
37,Cowpea,cowp,8854508
38,Small Millet,mill,8139576
39,Sesame Seed,sesa,6590953
40,Tobacco,toba,6050445
41,Lentil,lent,5964751
42,Arabica Coffee,coff,5954646
43,Cocoa,coco,5615585
44,Pigeon Pea,pige,4961305
45,Other Fibre Crops,ofib,4473902
46,Robusta Coffee,rcof,4348673
